candidate,property,T,R_A,R_B,n_subsamples,full_delta,full_verdict,mean_delta,deviation_from_full,across_subsample_sd,mean_ci_width,verdict_agreement,sign_agreement
gpt-5.4-2026-03-05,label_agreement,10,2,2,40,-0.064821,inconclusive,-0.0625,0.002321,0.078854,0.437897,0.9,0.725
gpt-5.4-2026-03-05,label_agreement,10,2,3,40,-0.064821,inconclusive,-0.059583,0.005238,0.076319,0.398199,0.9,0.7
gpt-5.4-2026-03-05,label_agreement,10,2,5,40,-0.064821,inconclusive,-0.04725,0.017571,0.079065,0.434764,0.95,0.6
gpt-5.4-2026-03-05,label_agreement,10,3,2,40,-0.064821,inconclusive,-0.084583,-0.019762,0.088545,0.401433,0.975,0.75
gpt-5.4-2026-03-05,label_agreement,10,3,3,40,-0.064821,inconclusive,-0.051667,0.013155,0.07441,0.332167,0.95,0.65
gpt-5.4-2026-03-05,label_agreement,10,3,5,40,-0.064821,inconclusive,-0.063,0.001821,0.087027,0.313149,0.925,0.7
gpt-5.4-2026-03-05,label_agreement,10,5,2,40,-0.064821,inconclusive,-0.076,-0.011179,0.094158,0.325021,0.925,0.625
gpt-5.4-2026-03-05,label_agreement,10,5,3,40,-0.064821,inconclusive,-0.073167,-0.008345,0.071953,0.301488,0.95,0.75
gpt-5.4-2026-03-05,label_agreement,10,5,5,40,-0.064821,inconclusive,-0.081,-0.016179,0.074519,0.311053,0.925,0.775
gpt-5.4-2026-03-05,label_agreement,10,8,2,40,-0.064821,inconclusive,-0.079152,-0.01433,0.084207,0.318907,0.95,0.775
gpt-5.4-2026-03-05,label_agreement,10,8,3,40,-0.064821,inconclusive,-0.076845,-0.012024,0.066687,0.302859,0.925,0.85
gpt-5.4-2026-03-05,label_agreement,10,8,5,40,-0.064821,inconclusive,-0.041429,0.023393,0.064042,0.216762,0.925,0.65
gpt-5.4-2026-03-05,label_agreement,20,2,2,40,-0.064821,inconclusive,-0.064375,0.000446,0.061077,0.361419,0.925,0.85
gpt-5.4-2026-03-05,label_agreement,20,2,3,40,-0.064821,inconclusive,-0.064583,0.000238,0.062297,0.347073,1.0,0.8
gpt-5.4-2026-03-05,label_agreement,20,2,5,40,-0.064821,inconclusive,-0.052875,0.011946,0.054572,0.317903,0.975,0.825
gpt-5.4-2026-03-05,label_agreement,20,3,2,40,-0.064821,inconclusive,-0.077083,-0.012262,0.0461,0.295274,0.975,1.0
gpt-5.4-2026-03-05,label_agreement,20,3,3,40,-0.064821,inconclusive,-0.054306,0.010516,0.049762,0.252642,1.0,0.8
gpt-5.4-2026-03-05,label_agreement,20,3,5,40,-0.064821,inconclusive,-0.052167,0.012655,0.044444,0.251906,1.0,0.9
gpt-5.4-2026-03-05,label_agreement,20,5,2,40,-0.064821,inconclusive,-0.09625,-0.031429,0.049104,0.27555,1.0,1.0
gpt-5.4-2026-03-05,label_agreement,20,5,3,40,-0.064821,inconclusive,-0.079917,-0.015095,0.049513,0.253124,1.0,0.95
gpt-5.4-2026-03-05,label_agreement,20,5,5,40,-0.064821,inconclusive,-0.06835,-0.003529,0.050734,0.214469,0.975,0.95
gpt-5.4-2026-03-05,label_agreement,20,8,2,40,-0.064821,inconclusive,-0.075558,-0.010737,0.045686,0.239293,1.0,0.9
gpt-5.4-2026-03-05,label_agreement,20,8,3,40,-0.064821,inconclusive,-0.068646,-0.003824,0.048446,0.229574,0.95,0.9
gpt-5.4-2026-03-05,label_agreement,20,8,5,40,-0.064821,inconclusive,-0.048621,0.016201,0.037966,0.190992,1.0,0.9
gpt-5.4-2026-03-05,label_agreement,30,2,2,40,-0.064821,inconclusive,-0.067917,-0.003095,0.034774,0.284377,1.0,1.0
gpt-5.4-2026-03-05,label_agreement,30,2,3,40,-0.064821,inconclusive,-0.060972,0.003849,0.029811,0.270693,1.0,0.975
gpt-5.4-2026-03-05,label_agreement,30,2,5,40,-0.064821,inconclusive,-0.038167,0.026655,0.036468,0.256216,1.0,0.825
gpt-5.4-2026-03-05,label_agreement,30,3,2,40,-0.064821,inconclusive,-0.058333,0.006488,0.034865,0.229795,1.0,0.95
gpt-5.4-2026-03-05,label_agreement,30,3,3,40,-0.064821,inconclusive,-0.055278,0.009544,0.033427,0.213409,1.0,0.925
gpt-5.4-2026-03-05,label_agreement,30,3,5,40,-0.064821,inconclusive,-0.067611,-0.00279,0.035821,0.214214,1.0,0.925
gpt-5.4-2026-03-05,label_agreement,30,5,2,40,-0.064821,inconclusive,-0.093667,-0.028845,0.037063,0.231776,0.975,1.0
gpt-5.4-2026-03-05,label_agreement,30,5,3,40,-0.064821,inconclusive,-0.073333,-0.008512,0.036973,0.202824,1.0,0.975
gpt-5.4-2026-03-05,label_agreement,30,5,5,40,-0.064821,inconclusive,-0.076433,-0.011612,0.027049,0.198342,1.0,1.0
gpt-5.4-2026-03-05,label_agreement,30,8,2,40,-0.064821,inconclusive,-0.067589,-0.002768,0.034221,0.197104,1.0,1.0
gpt-5.4-2026-03-05,label_agreement,30,8,3,40,-0.064821,inconclusive,-0.074955,-0.010134,0.034156,0.196046,1.0,1.0
gpt-5.4-2026-03-05,label_agreement,30,8,5,40,-0.064821,inconclusive,-0.066027,-0.001205,0.032434,0.183695,1.0,0.95
gpt-5.4-2026-03-05,label_agreement,40,2,2,40,-0.064821,inconclusive,-0.062031,0.00279,0.025095,0.246058,1.0,1.0
gpt-5.4-2026-03-05,label_agreement,40,2,3,40,-0.064821,inconclusive,-0.059896,0.004926,0.026381,0.24614,1.0,0.975
gpt-5.4-2026-03-05,label_agreement,40,2,5,40,-0.064821,inconclusive,-0.04425,0.020571,0.022907,0.224539,1.0,0.95
gpt-5.4-2026-03-05,label_agreement,40,3,2,40,-0.064821,inconclusive,-0.074375,-0.009554,0.025608,0.208734,1.0,1.0
gpt-5.4-2026-03-05,label_agreement,40,3,3,40,-0.064821,inconclusive,-0.073889,-0.009067,0.028299,0.198742,1.0,1.0
gpt-5.4-2026-03-05,label_agreement,40,3,5,40,-0.064821,inconclusive,-0.061042,0.00378,0.023204,0.186279,1.0,1.0
gpt-5.4-2026-03-05,label_agreement,40,5,2,40,-0.064821,inconclusive,-0.087688,-0.022866,0.025327,0.194956,1.0,1.0
gpt-5.4-2026-03-05,label_agreement,40,5,3,40,-0.064821,inconclusive,-0.078583,-0.013762,0.027194,0.181403,1.0,1.0
gpt-5.4-2026-03-05,label_agreement,40,5,5,40,-0.064821,inconclusive,-0.072225,-0.007404,0.02354,0.166522,1.0,1.0
gpt-5.4-2026-03-05,label_agreement,40,8,2,40,-0.064821,inconclusive,-0.079035,-0.014213,0.023648,0.182952,1.0,1.0
gpt-5.4-2026-03-05,label_agreement,40,8,3,40,-0.064821,inconclusive,-0.077098,-0.012277,0.023987,0.174987,1.0,1.0
gpt-5.4-2026-03-05,label_agreement,40,8,5,40,-0.064821,inconclusive,-0.06398,0.000842,0.025464,0.155129,1.0,1.0
gpt-5.4-2026-03-05,label_agreement,60,2,2,1,-0.064821,inconclusive,-0.0625,0.002321,0.0,0.213763,1.0,1.0
gpt-5.4-2026-03-05,label_agreement,60,2,3,1,-0.064821,inconclusive,-0.061111,0.00371,0.0,0.199705,1.0,1.0
gpt-5.4-2026-03-05,label_agreement,60,2,5,1,-0.064821,inconclusive,-0.048333,0.016488,0.0,0.204367,1.0,1.0
gpt-5.4-2026-03-05,label_agreement,60,3,2,1,-0.064821,inconclusive,-0.075,-0.010179,0.0,0.18991,1.0,1.0
gpt-5.4-2026-03-05,label_agreement,60,3,3,1,-0.064821,inconclusive,-0.074074,-0.009253,0.0,0.169616,1.0,1.0
gpt-5.4-2026-03-05,label_agreement,60,3,5,1,-0.064821,inconclusive,-0.062222,0.002599,0.0,0.170754,1.0,1.0
gpt-5.4-2026-03-05,label_agreement,60,5,2,1,-0.064821,inconclusive,-0.085,-0.020179,0.0,0.189951,1.0,1.0
gpt-5.4-2026-03-05,label_agreement,60,5,3,1,-0.064821,inconclusive,-0.083333,-0.018512,0.0,0.165432,1.0,1.0
gpt-5.4-2026-03-05,label_agreement,60,5,5,1,-0.064821,inconclusive,-0.07,-0.005179,0.0,0.141592,1.0,1.0
gpt-5.4-2026-03-05,label_agreement,60,8,2,1,-0.064821,inconclusive,-0.07753,-0.012708,0.0,0.153034,1.0,1.0
gpt-5.4-2026-03-05,label_agreement,60,8,3,1,-0.064821,inconclusive,-0.077183,-0.012361,0.0,0.145618,1.0,1.0
gpt-5.4-2026-03-05,label_agreement,60,8,5,1,-0.064821,inconclusive,-0.064821,0.0,0.0,0.136859,1.0,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,10,2,2,40,-0.206916,rejected,-0.324906,-0.117991,0.129829,0.583648,0.475,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,10,2,3,40,-0.206916,rejected,-0.308597,-0.101682,0.136226,0.586104,0.4,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,10,2,5,40,-0.206916,rejected,-0.305458,-0.098543,0.118285,0.553774,0.45,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,10,3,2,40,-0.206916,rejected,-0.27916,-0.072244,0.108456,0.492758,0.475,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,10,3,3,40,-0.206916,rejected,-0.263759,-0.056844,0.09249,0.467433,0.375,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,10,3,5,40,-0.206916,rejected,-0.228072,-0.021157,0.090457,0.450607,0.325,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,10,5,2,40,-0.206916,rejected,-0.247125,-0.040209,0.096454,0.4477,0.4,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,10,5,3,40,-0.206916,rejected,-0.212313,-0.005397,0.10664,0.409418,0.3,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,10,5,5,40,-0.206916,rejected,-0.215308,-0.008392,0.090626,0.402776,0.325,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,10,8,2,40,-0.206916,rejected,-0.210158,-0.003242,0.087139,0.397461,0.375,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,10,8,3,40,-0.206916,rejected,-0.195942,0.010973,0.087784,0.381179,0.225,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,10,8,5,40,-0.206916,rejected,-0.212444,-0.005529,0.088332,0.378139,0.375,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,20,2,2,40,-0.206916,rejected,-0.318281,-0.111366,0.069852,0.426465,0.775,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,20,2,3,40,-0.206916,rejected,-0.313462,-0.106546,0.080323,0.413512,0.7,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,20,2,5,40,-0.206916,rejected,-0.291333,-0.084418,0.059562,0.412185,0.65,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,20,3,2,40,-0.206916,rejected,-0.267983,-0.061067,0.07095,0.358685,0.675,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,20,3,3,40,-0.206916,rejected,-0.232428,-0.025513,0.065953,0.33731,0.6,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,20,3,5,40,-0.206916,rejected,-0.225222,-0.018307,0.044914,0.315153,0.675,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,20,5,2,40,-0.206916,rejected,-0.252385,-0.04547,0.063571,0.325513,0.85,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,20,5,3,40,-0.206916,rejected,-0.249545,-0.042629,0.055169,0.319722,0.825,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,20,5,5,40,-0.206916,rejected,-0.207698,-0.000782,0.061567,0.293158,0.575,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,20,8,2,40,-0.206916,rejected,-0.236211,-0.029295,0.062052,0.308448,0.825,1.0
gpt-5.4-2026-03-05,cited_span_set_agreement,20,8,3,40,-0.206916,rejected,-0.215707,-0.008791,0.05617,0.287922,0.775,1.0
